DATEenvoi;cardkey;Lot;Typquest;Satisfaction;Recommandation;Detracteur;Neutre;Promoteur;week;CA
2017-01;440;2;1;1;7;0;1;0;01/01/2017;103.757749
2017-01;496;3;5;1;10;0;0;1;01/01/2017;135.2590931
2017-01;403;3;5;1;9;0;0;1;01/01/2017;113.9806287
2017-01;140;2;1;3;1;1;0;0;01/01/2017;62.53159968
2017-01;4;3;5;1;9;0;0;1;01/01/2017;131.4650337
2017-01;323;3;5;1;7;0;1;0;01/01/2017;105.4016908
2017-01;360;3;5;3;5;1;0;0;01/01/2017;81.48027049
2017-01;56;1;2;2;8;0;1;0;01/01/2017;106.9776589
2017-01;9;1;4;2;7;0;1;0;01/01/2017;90.59999879
2017-01;65;3;5;1;9;0;0;1;01/01/2017;141.873775
2017-01;44;3;5;1;10;0;0;1;01/01/2017;149.5547481
2017-01;445;1;4;1;10;0;0;1;01/01/2017;126.2823064
2017-01;443;2;1;1;7;0;1;0;01/01/2017;93.13293037
2017-01;349;1;4;1;7;0;1;0;01/01/2017;90.14138113
2017-01;284;1;4;2;7;0;1;0;01/01/2017;94.64999832
2017-01;247;1;3;3;3;1;0;0;01/01/2017;52.83846036
2017-01;461;3;5;2;9;0;0;1;01/01/2017;120.2946826
2017-01;43;2;1;1;7;0;1;0;01/01/2017;93.43120052
2017-01;257;3;5;2;9;0;0;1;01/01/2017;129.5504641
2017-01;274;2;1;4;4;1;0;0;01/01/2017;45.23571515
2017-01;23;1;1;2;9;0;0;1;01/01/2017;129.2429339
2017-01;338;1;1;4;4;1;0;0;01/01/2017;68.69154013
2017-01;387;1;4;1;7;0;1;0;01/01/2017;101.168319
2017-01;428;2;1;1;9;0;0;1;01/01/2017;113.8447381
2017-01;410;3;5;2;7;0;1;0;01/01/2017;93.33057525
2017-01;356;3;5;1;8;0;1;0;01/01/2017;91.7774875
2017-01;19;3;5;2;7;0;1;0;01/01/2017;94.42466495
2017-01;415;3;5;4;4;1;0;0;01/01/2017;50.92876198
2017-01;380;3;5;1;8;0;1;0;01/01/2017;96.48868741
2017-01;361;3;5;2;8;0;1;0;01/01/2017;102.4358822
2017-01;45;2;1;2;10;0;0;1;01/01/2017;151.2043998
2017-01;240;1;4;2;9;0;0;1;01/01/2017;105.0856775
2017-01;156;1;2;1;8;0;1;0;01/01/2017;91.84466548
2017-01;61;2;1;4;2;1;0;0;01/01/2017;47.80784739
2017-01;55;2;1;1;7;0;1;0;01/01/2017;99.08477649
2017-01;341;3;5;1;9;0;0;1;01/01/2017;117.5077275
2017-01;495;2;1;1;10;0;0;1;01/01/2017;124.6385094
2017-01;470;2;1;2;7;0;1;0;01/01/2017;96.02050343
2017-01;282;1;3;4;4;1;0;0;01/01/2017;79.24673224
2017-01;206;1;3;1;10;0;0;1;01/01/2017;152.2981036
2017-01;221;1;3;2;9;0;0;1;01/01/2017;129.4533813
2017-01;48;1;4;1;7;0;1;0;01/01/2017;89.78518691
2017-01;222;1;4;3;2;1;0;0;01/01/2017;65.98523697
2017-01;121;1;4;3;6;1;0;0;01/01/2017;55.39962911
2017-01;198;3;5;1;10;0;0;1;01/01/2017;122.2281307
2017-01;439;3;5;2;7;0;1;0;01/01/2017;90.82196549
2017-01;236;2;1;1;7;0;1;0;01/01/2017;105.9162413
2017-01;268;1;1;2;8;0;1;0;01/01/2017;94.32819663
2017-01;305;3;5;4;3;1;0;0;01/01/2017;70.23885022
2017-01;248;2;1;1;8;0;1;0;01/01/2017;92.58930032
2017-01;160;3;5;1;9;0;0;1;01/01/2017;128.839801
2017-01;239;3;5;2;5;1;0;0;01/01/2017;59.21907548
2017-01;191;1;1;1;8;0;1;0;01/01/2017;95.896026
2017-01;54;2;1;2;10;0;0;1;01/01/2017;151.7981097
2017-01;332;3;5;3;5;1;0;0;01/01/2017;75.16664672
2017-01;372;3;5;3;3;1;0;0;01/01/2017;50.63253648
2017-01;133;1;1;1;10;0;0;1;01/01/2017;150.9345064
2017-01;466;2;1;1;10;0;0;1;01/01/2017;153.0505898
2017-01;406;1;4;1;9;0;0;1;01/01/2017;149.4904744
2017-01;240;1;3;2;7;0;1;0;01/01/2017;95.60597398
2017-01;390;1;4;2;10;0;0;1;01/01/2017;140.0345566
2017-01;127;2;1;1;10;0;0;1;01/01/2017;130.914426
2017-01;295;3;5;1;7;0;1;0;01/01/2017;91.39579098
2017-01;202;2;1;4;2;1;0;0;01/01/2017;69.94304727
2017-01;176;2;1;2;7;0;1;0;01/01/2017;103.2559789
2017-01;373;3;5;2;6;1;0;0;01/01/2017;37.42232676
2017-01;323;2;1;1;9;0;0;1;01/01/2017;148.7288643
2017-01;97;1;4;1;9;0;0;1;01/01/2017;108.3347458
2017-01;210;3;5;1;9;0;0;1;01/01/2017;112.1541509
2017-01;164;2;1;2;10;0;0;1;01/01/2017;120.5584502
2017-01;411;2;1;2;10;0;0;1;01/01/2017;131.704233
2017-01;193;1;3;2;7;0;1;0;01/01/2017;105.5444493
2017-01;236;2;1;1;9;0;0;1;01/01/2017;119.4754763
2017-01;222;2;1;2;9;0;0;1;01/01/2017;122.6487047
2017-01;220;2;1;2;10;0;0;1;01/01/2017;145.0639804
2017-01;67;3;5;4;4;1;0;0;01/01/2017;79.44976143
2017-01;135;1;3;1;8;0;1;0;01/01/2017;105.7243859
2017-01;250;1;1;1;8;0;1;0;01/01/2017;104.3895661
2017-01;398;1;3;2;7;0;1;0;01/01/2017;105.7490295
2017-01;499;1;4;3;5;1;0;0;01/01/2017;79.14674192
2017-01;310;3;5;4;1;1;0;0;08/01/2017;72.3444224
2017-01;121;3;5;1;7;0;1;0;08/01/2017;92.76058518
2017-01;465;2;1;1;10;0;0;1;08/01/2017;113.7428339
2017-01;247;1;3;4;3;1;0;0;08/01/2017;45.32175201
2017-01;238;2;1;3;5;1;0;0;08/01/2017;66.51790941
2017-01;415;1;3;1;8;0;1;0;08/01/2017;94.1972521
2017-01;245;3;5;2;8;0;1;0;08/01/2017;104.9147896
2017-01;301;2;1;4;3;1;0;0;08/01/2017;52.89850558
2017-01;423;2;1;2;7;0;1;0;08/01/2017;90.67527239
2017-01;405;3;5;1;10;0;0;1;08/01/2017;133.0647004
2017-01;133;2;1;1;10;0;0;1;08/01/2017;130.5934977
2017-01;6;1;3;3;3;1;0;0;08/01/2017;81.93919071
2017-01;276;1;2;1;9;0;0;1;08/01/2017;127.7950194
2017-01;452;1;2;2;8;0;1;0;08/01/2017;108.8915125
2017-01;401;3;5;1;8;0;1;0;08/01/2017;96.21847129
2017-01;288;1;1;1;8;0;1;0;08/01/2017;95.50447965
2017-01;88;2;1;1;9;0;0;1;08/01/2017;148.5793492
2017-01;13;2;1;1;10;0;0;1;08/01/2017;104.4092336
2017-01;450;1;4;3;2;1;0;0;08/01/2017;60.80676297
2017-01;210;3;5;3;3;1;0;0;08/01/2017;51.41264188
2017-01;417;2;1;2;10;0;0;1;08/01/2017;142.1742258
2017-01;70;1;3;2;9;0;0;1;08/01/2017;149.3445593
2017-01;75;1;1;1;7;0;1;0;08/01/2017;109.819151
2017-01;94;2;1;1;7;0;1;0;08/01/2017;105.6843296
2017-01;80;1;2;4;1;1;0;0;08/01/2017;36.93385929
2017-01;81;2;1;2;5;1;0;0;08/01/2017;58.31383171
2017-01;251;3;5;2;7;0;1;0;08/01/2017;104.1142086
2017-01;252;2;1;1;9;0;0;1;08/01/2017;140.2757243
2017-01;198;2;1;1;8;0;1;0;08/01/2017;90.08680221
2017-01;149;3;5;2;8;0;1;0;08/01/2017;89.94472765
2017-01;50;1;4;1;7;0;1;0;08/01/2017;94.55826276
2017-01;468;3;5;3;5;1;0;0;08/01/2017;55.54063406
2017-01;235;3;5;1;7;0;1;0;08/01/2017;99.14244972
2017-01;176;1;4;2;7;0;1;0;08/01/2017;100.1652868
2017-01;9;1;2;4;1;1;0;0;08/01/2017;48.8542913
2017-01;338;2;1;4;3;1;0;0;08/01/2017;53.09681484
2017-01;331;1;2;1;8;0;1;0;08/01/2017;110.0540742
2017-01;476;2;1;1;8;0;1;0;08/01/2017;99.02506058
2017-01;153;3;5;3;6;1;0;0;08/01/2017;65.36129273
2017-01;273;3;5;2;9;0;0;1;08/01/2017;116.1956152
2017-01;232;2;1;3;6;1;0;0;08/01/2017;39.79436025
2017-01;297;2;1;2;9;0;0;1;08/01/2017;153.3364206
2017-01;84;2;1;2;6;1;0;0;08/01/2017;55.90711548
2017-01;300;3;5;2;10;0;0;1;08/01/2017;140.1947521
2017-01;296;3;5;2;9;0;0;1;08/01/2017;116.6768383
2017-01;450;3;5;1;10;0;0;1;08/01/2017;157.6610337
2017-01;225;1;4;1;8;0;1;0;08/01/2017;99.56556832
2017-01;68;1;4;1;8;0;1;0;08/01/2017;93.73829676
2017-01;214;3;5;2;10;0;0;1;08/01/2017;132.2835611
2017-01;319;1;3;1;7;0;1;0;08/01/2017;105.3989021
2017-01;45;2;1;4;1;1;0;0;08/01/2017;58.59335688
2017-01;11;1;1;1;8;0;1;0;08/01/2017;109.828285
2017-01;23;1;4;3;3;1;0;0;08/01/2017;48.821638
2017-01;456;1;4;2;8;0;1;0;08/01/2017;100.5114254
2017-01;238;3;5;2;6;1;0;0;08/01/2017;82.69874624
2017-01;334;2;1;1;8;0;1;0;08/01/2017;98.19252031
2017-01;360;2;1;2;8;0;1;0;08/01/2017;90.20462
2017-01;226;3;5;1;9;0;0;1;08/01/2017;112.691561
2017-01;345;3;5;3;5;1;0;0;08/01/2017;39.27862698
2017-01;399;1;3;2;10;0;0;1;08/01/2017;148.6586785
2017-01;316;1;3;2;8;0;1;0;08/01/2017;96.6357413
2017-01;219;3;5;1;10;0;0;1;08/01/2017;147.7378533
2017-01;348;3;5;2;7;0;1;0;08/01/2017;95.97188774
2017-01;204;1;4;1;7;0;1;0;08/01/2017;106.2652509
2017-01;105;1;1;1;7;0;1;0;08/01/2017;90.54335353
2017-01;411;2;1;1;10;0;0;1;08/01/2017;118.955304
2017-01;307;1;4;2;9;0;0;1;08/01/2017;135.075165
2017-01;4;1;4;1;9;0;0;1;08/01/2017;131.9938249
2017-01;422;2;1;1;7;0;1;0;08/01/2017;108.3930694
2017-01;427;2;1;3;4;1;0;0;08/01/2017;80.4408895
2017-01;327;1;3;1;10;0;0;1;08/01/2017;116.7409584
2017-01;93;1;1;2;9;0;0;1;08/01/2017;135.9138942
2017-01;347;2;1;1;8;0;1;0;08/01/2017;107.245354
2017-01;463;1;4;2;9;0;0;1;08/01/2017;128.645326
2017-01;222;3;5;1;7;0;1;0;08/01/2017;93.66860671
2017-01;133;1;3;1;10;0;0;1;08/01/2017;146.6230845
2017-01;271;2;1;2;10;0;0;1;08/01/2017;117.8818453
2017-01;383;2;1;1;9;0;0;1;08/01/2017;138.7805678
2017-01;203;3;5;1;9;0;0;1;08/01/2017;151.2543245
2017-01;408;3;5;1;7;0;1;0;08/01/2017;101.3163323
2017-01;331;2;1;1;7;0;1;0;08/01/2017;109.9111788
2017-01;25;2;1;1;10;0;0;1;08/01/2017;118.7763075
2017-01;320;3;5;1;7;0;1;0;08/01/2017;101.0710754
2017-01;32;1;1;2;10;0;0;1;08/01/2017;140.1566217
2017-01;389;1;4;2;9;0;0;1;08/01/2017;113.664007
2017-01;409;2;1;2;10;0;0;1;08/01/2017;144.4407997
2017-01;168;2;1;1;9;0;0;1;08/01/2017;128.1608408
2017-01;134;1;4;2;7;0;1;0;08/01/2017;99.19863326
2017-01;465;2;1;1;8;0;1;0;08/01/2017;105.8165217
2017-01;88;2;1;1;10;0;0;1;08/01/2017;114.4523364
2017-01;271;2;1;4;2;1;0;0;08/01/2017;92.29668615
2017-01;224;1;3;2;10;0;0;1;08/01/2017;133.5818229
2017-01;250;3;5;2;8;0;1;0;08/01/2017;90.33695275
2017-01;202;1;3;2;10;0;0;1;08/01/2017;135.4523192
2017-01;411;3;5;1;8;0;1;0;08/01/2017;91.8128641
2017-01;497;3;5;1;10;0;0;1;08/01/2017;148.9566312
2017-01;215;2;1;1;8;0;1;0;08/01/2017;94.76974965
2017-01;405;1;3;3;6;1;0;0;08/01/2017;57.49320008
2017-01;240;3;5;2;5;1;0;0;08/01/2017;37.80110985
2017-01;136;3;5;1;9;0;0;1;08/01/2017;159.2392601
2017-01;346;2;1;1;8;0;1;0;08/01/2017;108.6593472
2017-01;192;2;1;2;9;0;0;1;08/01/2017;126.0611344
2017-01;307;1;3;4;2;1;0;0;08/01/2017;52.610782
2017-01;139;1;2;1;9;0;0;1;08/01/2017;153.4386797
2017-01;421;2;1;1;7;0;1;0;08/01/2017;109.2263005
2017-01;326;2;1;1;7;0;1;0;08/01/2017;109.9702799
2017-01;38;1;4;2;7;0;1;0;08/01/2017;100.6634087
2017-01;1;3;5;1;8;0;1;0;08/01/2017;91.15581346
2017-01;208;3;5;1;8;0;1;0;08/01/2017;91.49051445
2017-01;398;3;5;2;8;0;1;0;08/01/2017;106.7089525
2017-01;478;2;1;2;6;1;0;0;08/01/2017;68.08136527
2017-01;381;3;5;2;7;0;1;0;08/01/2017;98.10903777
2017-01;357;2;1;1;8;0;1;0;08/01/2017;102.2488958
2017-01;268;1;4;2;5;1;0;0;08/01/2017;71.50690241
2017-01;197;3;5;1;7;0;1;0;08/01/2017;107.8782722
2017-01;149;1;4;2;9;0;0;1;08/01/2017;123.5957359
2017-01;347;1;2;3;1;1;0;0;08/01/2017;55.11663211
2017-01;446;1;1;4;4;1;0;0;08/01/2017;89.24461144
2017-01;18;1;3;2;10;0;0;1;08/01/2017;132.7246572
2017-01;35;1;1;1;7;0;1;0;08/01/2017;108.7152921
2017-01;40;1;4;3;1;1;0;0;08/01/2017;62.21599321
2017-01;428;2;1;1;8;0;1;0;08/01/2017;90.97048823
2017-01;388;2;1;2;10;0;0;1;08/01/2017;155.1524159
2017-01;121;3;5;4;2;1;0;0;08/01/2017;81.58836065
2017-01;458;2;1;2;10;0;0;1;08/01/2017;121.5382175
2017-01;151;1;1;2;9;0;0;1;15/01/2017;141.9659532
2017-01;475;1;3;2;10;0;0;1;15/01/2017;126.6433213
2017-01;158;2;1;2;7;0;1;0;15/01/2017;89.82142955
2017-01;57;3;5;3;5;1;0;0;15/01/2017;80.63903657
2017-01;448;2;1;1;7;0;1;0;15/01/2017;96.74544121
2017-01;290;2;1;2;9;0;0;1;15/01/2017;119.3692336
2017-01;142;3;5;2;8;0;1;0;15/01/2017;97.77447795
2017-01;382;3;5;4;1;1;0;0;15/01/2017;69.85689683
2017-01;224;2;1;1;7;0;1;0;15/01/2017;89.82081146
2017-01;30;2;1;1;7;0;1;0;15/01/2017;102.6895912
2017-01;215;2;1;1;8;0;1;0;15/01/2017;109.0211859
2017-01;487;2;1;2;7;0;1;0;15/01/2017;95.64614751
2017-01;35;1;3;2;8;0;1;0;15/01/2017;95.29366216
2017-01;491;2;1;2;7;0;1;0;15/01/2017;92.02227675
2017-01;338;1;3;2;7;0;1;0;15/01/2017;99.04447932
2017-01;399;2;1;2;9;0;0;1;15/01/2017;147.511796
2017-01;435;2;1;1;10;0;0;1;15/01/2017;157.410435
2017-01;483;3;5;1;9;0;0;1;15/01/2017;146.6520313
2017-01;280;3;5;3;4;1;0;0;15/01/2017;88.14853313
2017-01;320;2;1;1;9;0;0;1;15/01/2017;141.2911379
2017-01;229;3;5;2;9;0;0;1;15/01/2017;140.1457695
2017-01;130;1;3;1;10;0;0;1;15/01/2017;112.6424527
2017-01;6;2;1;3;3;1;0;0;15/01/2017;46.07614021
2017-01;397;1;4;2;10;0;0;1;15/01/2017;137.3151479
2017-01;202;3;5;1;9;0;0;1;15/01/2017;128.8305105
2017-01;29;2;1;2;8;0;1;0;15/01/2017;105.9273377
2017-01;382;2;1;3;3;1;0;0;15/01/2017;90.79282307
2017-01;82;2;1;2;8;0;1;0;15/01/2017;108.7672063
2017-01;285;3;5;1;9;0;0;1;15/01/2017;138.9099789
2017-01;120;1;1;1;10;0;0;1;15/01/2017;163.8748461
2017-01;367;3;5;3;6;1;0;0;15/01/2017;58.65223077
2017-01;170;2;1;4;2;1;0;0;15/01/2017;54.31111514
2017-01;291;1;3;2;10;0;0;1;15/01/2017;153.0034803
2017-01;312;3;5;3;6;1;0;0;15/01/2017;47.75219215
2017-01;136;1;3;3;2;1;0;0;15/01/2017;48.47553159
2017-01;191;1;1;2;7;0;1;0;15/01/2017;91.8680633
2017-01;255;1;2;2;10;0;0;1;15/01/2017;135.4176286
2017-01;283;3;5;2;8;0;1;0;15/01/2017;90.63924122
2017-01;72;1;4;2;9;0;0;1;15/01/2017;161.1200168
2017-01;320;3;5;2;5;1;0;0;15/01/2017;42.69741055
2017-01;27;3;5;1;10;0;0;1;15/01/2017;122.8682725
2017-01;429;1;4;1;8;0;1;0;15/01/2017;91.2971547
2017-01;374;1;4;2;9;0;0;1;15/01/2017;158.3003489
2017-01;460;3;5;1;7;0;1;0;15/01/2017;108.8186737
2017-01;187;1;4;1;7;0;1;0;15/01/2017;93.42322786
2017-01;243;1;2;2;7;0;1;0;15/01/2017;105.9230212
2017-01;371;1;4;1;9;0;0;1;15/01/2017;151.5822586
2017-01;269;1;1;4;1;1;0;0;15/01/2017;44.31465786
2017-01;208;3;5;4;4;1;0;0;15/01/2017;39.00202256
2017-01;133;3;5;1;9;0;0;1;15/01/2017;119.9964182
2017-01;379;1;1;3;2;1;0;0;15/01/2017;33.69856738
2017-01;273;2;1;1;7;0;1;0;15/01/2017;104.913842
2017-01;166;3;5;1;8;0;1;0;15/01/2017;93.75157233
2017-01;326;1;2;3;6;1;0;0;15/01/2017;48.94163435
2017-01;377;1;2;2;10;0;0;1;15/01/2017;163.1145733
2017-01;228;2;1;2;10;0;0;1;15/01/2017;145.197006
2017-01;152;3;5;4;3;1;0;0;15/01/2017;83.05193913
2017-01;183;1;3;4;4;1;0;0;15/01/2017;73.79804552
2017-01;401;3;5;2;7;0;1;0;15/01/2017;93.21957499
2017-01;497;3;5;1;7;0;1;0;15/01/2017;95.6867022
2017-01;209;1;4;2;7;0;1;0;15/01/2017;104.9070919
2017-01;207;3;5;1;10;0;0;1;15/01/2017;121.8672987
2017-01;75;1;4;1;10;0;0;1;15/01/2017;126.9384153
2017-01;274;3;5;2;9;0;0;1;15/01/2017;153.6818106
2017-01;287;2;1;1;8;0;1;0;15/01/2017;98.85882241
2017-01;313;1;4;1;9;0;0;1;15/01/2017;147.135003
2017-01;189;2;1;2;7;0;1;0;15/01/2017;108.6778686
2017-01;303;3;5;4;1;1;0;0;15/01/2017;57.03823277
2017-01;114;1;4;3;6;1;0;0;15/01/2017;89.68300511
2017-01;323;3;5;2;10;0;0;1;15/01/2017;145.6160061
2017-01;275;3;5;2;10;0;0;1;15/01/2017;134.8179159
2017-01;205;1;1;2;8;0;1;0;15/01/2017;95.79251958
2017-01;95;2;1;3;5;1;0;0;15/01/2017;51.22476063
2017-01;314;3;5;1;10;0;0;1;15/01/2017;108.8665178
2017-01;82;1;2;1;10;0;0;1;15/01/2017;125.0817674
2017-01;258;3;5;2;9;0;0;1;15/01/2017;120.6941312
2017-01;172;1;2;1;10;0;0;1;15/01/2017;103.3136153
2017-01;140;2;1;1;10;0;0;1;15/01/2017;118.8930672
2017-01;497;1;4;2;10;0;0;1;15/01/2017;159.0543769
2017-01;245;2;1;1;8;0;1;0;15/01/2017;101.9766468
2017-01;460;1;3;1;9;0;0;1;15/01/2017;136.6535007
2017-01;216;1;3;4;3;1;0;0;15/01/2017;43.58351508
2017-01;296;1;3;2;10;0;0;1;15/01/2017;135.0390097
2017-01;477;1;1;2;6;1;0;0;15/01/2017;87.96654988
2017-01;445;1;2;2;8;0;1;0;15/01/2017;90.61678652
2017-01;116;2;1;2;9;0;0;1;15/01/2017;120.6846686
2017-01;127;2;1;4;2;1;0;0;15/01/2017;44.85527053
2017-01;153;1;1;1;10;0;0;1;15/01/2017;127.5548099
2017-01;307;1;1;2;7;0;1;0;15/01/2017;102.6186595
2017-01;490;3;5;1;9;0;0;1;15/01/2017;115.7884929
2017-01;449;2;1;2;8;0;1;0;15/01/2017;99.77153961
2017-01;99;3;5;2;10;0;0;1;15/01/2017;131.7149439
2017-01;331;3;5;3;6;1;0;0;15/01/2017;79.93083698
2017-01;128;3;5;2;8;0;1;0;15/01/2017;110.1405187
2017-01;131;3;5;2;7;0;1;0;15/01/2017;105.8649227
2017-01;249;1;1;2;9;0;0;1;15/01/2017;142.8692544
2017-01;216;3;5;2;6;1;0;0;15/01/2017;85.02768991
2017-01;337;3;5;2;10;0;0;1;15/01/2017;128.6001053
2017-01;482;1;4;1;10;0;0;1;15/01/2017;148.7720083
2017-01;86;2;1;2;9;0;0;1;15/01/2017;119.6321661
2017-01;241;1;4;2;5;1;0;0;15/01/2017;80.3292889
2017-01;307;3;5;3;6;1;0;0;15/01/2017;54.7042939
2017-01;257;2;1;1;9;0;0;1;15/01/2017;121.2571142
2017-01;129;1;2;2;8;0;1;0;15/01/2017;101.511865
2017-01;301;2;1;2;7;0;1;0;15/01/2017;91.00459484
2017-01;43;3;5;1;8;0;1;0;15/01/2017;105.4924019
2017-01;142;3;5;3;4;1;0;0;15/01/2017;63.38044741
2017-01;93;3;5;3;2;1;0;0;15/01/2017;40.89423653
2017-01;159;3;5;4;1;1;0;0;15/01/2017;56.44773737
2017-01;500;1;3;2;9;0;0;1;15/01/2017;123.6939617
2017-01;332;2;1;1;8;0;1;0;15/01/2017;101.5530313
2017-01;91;3;5;4;3;1;0;0;15/01/2017;60.64522758
2017-01;452;1;4;1;7;0;1;0;15/01/2017;109.4516737
2017-01;135;2;1;2;10;0;0;1;15/01/2017;139.4931621
2017-01;263;2;1;3;3;1;0;0;15/01/2017;45.37871554
2017-01;496;2;1;2;6;1;0;0;15/01/2017;54.63203289
2017-01;314;2;1;2;8;0;1;0;15/01/2017;91.14593553
2017-01;409;2;1;1;7;0;1;0;15/01/2017;107.0433719
2017-01;185;1;4;1;9;0;0;1;15/01/2017;115.4031081
2017-01;158;2;1;2;7;0;1;0;15/01/2017;106.6842872
2017-01;319;2;1;1;7;0;1;0;15/01/2017;109.0313084
2017-01;67;1;2;4;2;1;0;0;15/01/2017;51.25992289
2017-01;278;2;1;1;10;0;0;1;15/01/2017;111.6272529
2017-01;329;2;1;1;7;0;1;0;15/01/2017;108.5610416
2017-01;136;2;1;1;10;0;0;1;15/01/2017;150.8466132
2017-01;94;2;1;1;7;0;1;0;22/01/2017;108.2223704
2017-01;255;3;5;2;8;0;1;0;22/01/2017;106.2109858
2017-01;94;3;5;2;8;0;1;0;22/01/2017;107.9178498
2017-01;483;3;5;1;10;0;0;1;22/01/2017;120.8254766
2017-01;192;2;1;1;8;0;1;0;22/01/2017;100.6061513
2017-01;164;1;3;4;3;1;0;0;22/01/2017;61.79610533
2017-01;327;2;1;2;8;0;1;0;22/01/2017;98.3506114
2017-01;346;2;1;1;9;0;0;1;22/01/2017;123.221008
2017-01;247;1;1;1;10;0;0;1;22/01/2017;146.9338427
2017-01;259;3;5;2;10;0;0;1;22/01/2017;142.5531737
2017-01;332;2;1;1;7;0;1;0;22/01/2017;103.5410094
2017-01;305;1;2;1;8;0;1;0;22/01/2017;91.79459893
2017-01;424;2;1;4;1;1;0;0;22/01/2017;64.53149401
2017-01;73;2;1;1;7;0;1;0;22/01/2017;91.61619737
2017-01;396;3;5;3;6;1;0;0;22/01/2017;66.02071187
2017-01;452;1;1;3;6;1;0;0;22/01/2017;52.35220194
2017-01;235;2;1;2;8;0;1;0;22/01/2017;99.95100863
2017-01;415;1;4;2;8;0;1;0;22/01/2017;109.3157478
2017-01;29;3;5;2;9;0;0;1;22/01/2017;108.954214
2017-01;43;1;4;1;7;0;1;0;22/01/2017;92.87131246
2017-01;228;3;5;1;7;0;1;0;22/01/2017;101.9402908
2017-01;324;3;5;2;10;0;0;1;22/01/2017;140.2960283
2017-01;8;2;1;3;3;1;0;0;22/01/2017;81.47725807
2017-01;203;1;3;2;8;0;1;0;22/01/2017;109.0940655
2017-01;85;2;1;1;9;0;0;1;22/01/2017;157.4713662
2017-01;318;2;1;1;8;0;1;0;22/01/2017;106.3532323
2017-01;42;1;2;1;9;0;0;1;22/01/2017;149.6739231
2017-01;6;3;5;2;10;0;0;1;22/01/2017;125.3104772
2017-01;113;2;1;2;7;0;1;0;22/01/2017;94.06810089
2017-01;33;1;2;2;10;0;0;1;22/01/2017;112.7097658
2017-01;348;1;3;2;8;0;1;0;22/01/2017;107.0631881
2017-01;54;2;1;1;9;0;0;1;22/01/2017;143.634483
2017-01;339;2;1;2;8;0;1;0;22/01/2017;92.2323341
2017-01;201;3;5;1;10;0;0;1;22/01/2017;144.5332709
